,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec,rgc
8303,26175,3971.422,3276.629,21.218500000000002,0.0199,21.42,0.0471,20.372,0.0306,0.4260,-0.0130,204.1758477487307,-29.81202869806422,8.285784067480746
8309,26316,3980.845,3276.867,22.608500000000003,0.0530,22.415,0.1066,22.008,0.1009,0.4453,-0.1043,204.17536507225154,-29.812018105742762,8.317366559768308
8317,5556,4439.414,3277.130,22.233500000000003,0.0420,22.015,0.0652,21.491,0.0807,0.5143,-0.2773,204.1518756736563,-29.812003589409915,9.887016348933926
8325,26267,3819.017,3277.366,20.736500000000003,0.0137,20.637999999999998,0.0284,19.883,0.0220,0.4247,0.1487,204.1836544307812,-29.811995934138405,7.796656586092852
8332,5608,4409.678,3277.747,20.666500000000003,0.0147,20.412,0.0266,19.648,0.0189,0.5360,-0.1663,204.1533988555023,-29.811976476486436,9.783541998545386
8337,5000110,4399.290,3277.908,23.215500000000002,0.0963,23.478,0.2480,,,0.4040,0.6935,204.15393096435753,-29.81196942486432,9.747360066358608
8347,26282,3722.273,3278.504,21.3805,0.0216,21.359,0.0473,20.712,0.0392,0.4293,-0.2747,204.18860996915814,-29.81194511297691,7.498251470709205
8355,5573,4289.166,3278.829,23.6235,0.1348,23.012,0.1766,22.773,0.2046,0.4900,-0.2537,204.15957188050197,-29.811929462251452,9.365007674892537
8359,5602,4013.359,3278.899,22.2175,0.0440,22.164,0.0976,21.524,0.0793,0.4187,-0.2710,204.17369960417858,-29.811927730982603,8.430012781266258
8361,5618,3793.888,3278.994,22.239500000000003,0.0448,22.284,0.1097,21.018,0.0452,0.4797,0.3723,204.1849416161971,-29.81192353314066,7.7221480197838
8376,5597,3392.161,3279.613,23.340500000000002,0.1945,,,21.774,0.1413,0.6235,-4.8235,204.205519358715,-29.81189360184513,6.5471239323042925
8377,5574,4394.533,3279.626,22.6615,0.0553,22.502000000000002,0.1064,21.745,0.0890,0.4933,0.2797,204.1541746527111,-29.811893116200277,9.734703672178776
8382,5590,4363.029,3279.863,22.323500000000003,0.0436,22.311999999999998,0.1011,21.621,0.0886,0.5147,0.2640,204.1557883908613,-29.811882882070787,9.624782760039903
8384,26313,3446.635,3279.999,21.7455,0.0324,21.638999999999996,0.0606,20.919,0.0452,0.4547,0.0083,204.2027290222207,-29.81187696130212,6.6966277082672745
8394,5606,4253.611,3280.316,21.1475,0.0197,20.999000000000002,0.0366,20.16,0.0254,0.4733,-0.2343,204.16139313413467,-29.8118636356168,9.245770147790285
8396,5578,3420.404,3280.424,21.831500000000002,0.0324,21.58,0.0538,21.051,0.0515,0.4510,-0.2270,204.20407265311113,-29.811857831738305,6.626122541421595
8399,5615,3614.073,3280.616,21.0375,0.0283,20.872,0.0522,20.256999999999998,0.0373,0.5450,0.1677,204.19415230912273,-29.81185075508859,7.1779811619093525
8405,26328,3791.126,3280.912,21.003500000000003,0.0170,20.912999999999997,0.0347,20.181,0.0261,0.4333,0.1650,204.18508309006995,-29.811838282942553,7.718995512264703
8410,26337,3247.807,3281.139,21.116500000000002,0.0188,20.874000000000002,0.0466,20.056,0.0250,0.4930,-0.1057,204.21291360913426,-29.811824131392843,6.180931599387068
8413,26325,3561.229,3281.262,21.7715,0.0356,21.634,0.0708,20.838,0.0455,0.4960,0.0060,204.1968591419665,-29.8118217200145,7.025081681297011
8425,26344,3639.450,3281.784,20.4925,0.0139,20.342,0.0280,19.294,0.0162,0.4637,-0.1807,204.19285241155208,-29.811798979949984,7.257005199416253
8430,5616,3664.183,3281.882,21.122500000000002,0.0194,21.168,0.0415,20.474999999999998,0.0314,0.4430,-0.1923,204.19158550870725,-29.811794744672735,7.331496440373947
8431,26339,3351.869,3281.899,20.9285,0.0198,20.903,0.0418,20.028,0.0272,0.6540,0.1397,204.20758321534439,-29.811791583215346,6.4478311409302655
8433,26349,3815.467,3281.961,21.642500000000002,0.0281,21.536,0.0518,20.947,0.0481,0.4110,0.0490,204.18383626471874,-29.811791706257484,7.798535055550925
8441,5620,3832.261,3282.185,21.7725,0.0314,21.564,0.0550,20.684,0.0412,0.4167,-0.1923,204.18297602272742,-29.811781775296414,7.852262727027543
8442,26375,4016.024,3282.207,22.108500000000003,0.0386,21.893,0.0686,21.32,0.0629,0.4453,0.1997,204.1735631031736,-29.811780702620922,8.447653603041308
8449,5654,3636.987,3282.528,20.962500000000002,0.0201,20.893,0.0419,20.509,0.0417,0.4723,-0.1737,204.19297856976513,-29.811765900645536,7.251907285852991
8452,26301,3600.993,3282.678,21.7485,0.0326,21.591,0.0706,20.938,0.0482,0.4653,0.0403,204.1948222944018,-29.811759035598158,7.145674903497487
8453,5553,3969.311,3282.681,21.9115,0.0347,21.866999999999997,0.0655,21.184,0.0496,0.4983,0.1703,204.17595589088916,-29.811759723309994,8.295248514684443
