,ID,X,Y,H,H_err,J,J_err,K,K_err,chi,sharp,ra,dec
3340,333482,3159.912,968.945,21.785,0.1738,23.0315,0.1403,21.197000000000003,0.1941,0.9243,-0.7930,149.9447944849685,5.225182888037308
3345,333467,76.183,971.006,20.676,0.2896,,,24.545,0.1720,2.0650,7.3255,150.08242063699407,5.2252661024604725
3385,334040,1679.146,982.073,22.262999999999998,0.2765,23.404500000000002,0.2001,,,0.8500,-2.0070,150.01088082872113,5.225766067669224
3393,333964,1690.345,984.400,22.262,0.2700,23.6235,0.2463,,,0.8450,-0.2515,150.01038102505214,5.225869517570847
3412,334220,3134.734,992.130,18.604,0.0229,19.8075,0.0139,18.220000000000002,0.0187,0.7030,-0.1850,149.94591812516296,5.226213381279348
3462,30892,4103.767,1008.716,17.462,0.0295,18.0635,0.0095,17.335,0.0115,1.2130,-1.0320,149.90267023498575,5.226947053673167
3492,31089,558.877,1016.464,22.134,0.2556,23.4095,0.1684,,,0.9410,-0.5035,150.0608784323142,5.227289739716154
3525,335429,4766.642,1031.590,20.937,0.2206,,,19.714000000000002,0.1922,2.8250,0.4130,149.87308605915342,5.227959583925609
3529,335399,122.084,1033.961,21.011,0.2165,,,20.062,0.2833,2.9650,-2.8175,150.08037257069427,5.228064431685356
3542,335622,2242.477,1038.331,17.441,0.0174,18.0995,0.0075,17.322000000000003,0.0110,0.8467,-0.2050,149.98573949258665,5.228267336802296
3562,335942,4004.349,1046.926,22.425,0.2897,,,21.654,0.2982,1.1350,1.1350,149.90710706002756,5.22864576173691
3600,5000888,2747.110,1060.760,,,15.870500000000002,0.0089,15.037,0.0175,2.2400,-0.8060,149.9632176812957,5.229264154806969
3604,336308,1656.092,1062.113,22.214,0.2055,,,21.27,0.1439,1.0160,0.0045,150.01190993854425,5.229323327810836
3608,5000890,3692.163,1063.866,,,16.8585,0.0080,16.513,0.0188,1.2950,-0.5580,149.92103986088367,5.229399994658126
3666,32873,1068.299,1085.718,21.151,0.1207,22.096500000000002,0.0597,19.565,0.0669,0.7660,-0.0350,150.03814329779502,5.230370360424919
3718,337636,134.643,1103.230,20.987,0.1850,,,20.125,0.1570,1.7950,1.9380,150.07981258964261,5.231143130810692
3733,337689,1649.722,1107.482,22.157999999999998,0.2445,,,21.715,0.2618,1.0650,-3.4685,150.01219435420148,5.231339703553262
3738,337744,4131.577,1108.747,22.306,0.2776,,,21.838,0.2800,1.0550,3.3755,149.90142854397686,5.2313927124020765
3826,34102,737.475,1141.094,20.572,0.1153,,,20.351000000000003,0.1310,0.6700,0.8230,150.05290832751052,5.232829858003631
3851,34396,732.372,1146.931,21.029,0.0974,,,21.024,0.1289,0.8060,1.6460,150.0531361088974,5.233089250977912
3887,339124,1495.455,1157.180,22.291,0.2590,23.0545,0.1300,,,0.8550,0.0245,150.01907948636946,5.233548053213086
3899,339216,1958.021,1161.018,16.927,0.0263,17.4435,0.0074,16.721000000000004,0.0084,1.3123,-0.9297,149.9984349821317,5.233719731442598
3914,5000951,2993.486,1168.697,,,23.526500000000002,0.1550,21.262,0.2024,0.8960,0.0985,149.9522217140184,5.234061034685162
3989,340354,4207.392,1197.470,16.689999999999998,0.0221,17.2245,0.0075,16.467,0.0076,1.2267,-0.6900,149.89804441031052,5.235335535774205
4004,340419,758.433,1201.043,18.671,0.0398,19.2395,0.0120,18.482,0.0235,1.0147,-1.1547,150.05197329974152,5.235494361400646
4009,340644,1063.095,1202.573,22.543,0.2744,,,21.203,0.1590,0.8750,-0.6565,150.0383760887944,5.23556387191974
4023,340746,2454.944,1210.990,21.584,0.1640,,,21.216,0.2271,1.2350,-0.8940,149.97625709573862,5.235941131941227
4025,36049,458.291,1213.640,22.323999999999998,0.2765,,,21.105,0.2943,1.4600,-1.8740,150.06536886177392,5.236052450477762
4041,36393,3745.847,1219.041,22.322,0.2714,23.334500000000002,0.1679,,,0.8690,-0.1940,149.91864330437178,5.236296424675421
4074,36819,4370.957,1234.414,13.837,0.0068,,,13.765,0.0035,1.3900,-0.0485,149.89074420180606,5.2369765497683085
4084,36849,4370.688,1237.347,16.935,0.0745,,,17.569000000000003,0.0444,1.3500,0.3465,149.8907561894997,5.2371069063797755
4099,342112,4376.141,1241.786,21.023,0.2220,,,20.895,0.2052,0.8950,2.1965,149.89051279167842,5.237304161817636
